tad_id	tad_chr	tad_start	tad_end	meanAge	percentOld
chr1_1150000_1250000	chr1	1150000	1250000	2.71428571428571	0.857142857142857
chr1_1250000_1350000	chr1	1250000	1350000	3	1
chr1_1350000_1450000	chr1	1350000	1450000	1.5	0.25
chr1_1950000_2050000	chr1	1950000	2050000	3	1
chr1_2050000_2250000	chr1	2050000	2250000	2	0.5
chr1_6750000_7250000	chr1	6750000	7250000	3	1
chr1_9950000_10050000	chr1	9950000	10050000	3	1
chr1_11250000_11350000	chr1	11250000	11350000	3	1
chr1_11350000_11750000	chr1	11350000	11750000	1.8	0.4
chr1_13450000_13750000	chr1	13450000	13750000	1	0
chr1_13750000_14150000	chr1	13750000	14150000	2	0.5
chr1_16150000_16250000	chr1	16150000	16250000	3	1
chr1_17750000_17850000	chr1	17750000	17850000	3	1
chr1_17850000_17950000	chr1	17850000	17950000	3	1
chr1_20250000_20450000	chr1	20250000	20450000	1	0
chr1_20450000_20550000	chr1	20450000	20550000	1.66666666666667	0.333333333333333
chr1_20550000_20750000	chr1	20550000	20750000	3	1
chr1_21650000_21750000	chr1	21650000	21750000	3	1
chr1_22750000_22850000	chr1	22750000	22850000	3	1
chr1_23750000_23850000	chr1	23750000	23850000	3	1
chr1_24650000_24750000	chr1	24650000	24750000	3	1
chr1_26250000_26350000	chr1	26250000	26350000	3	1
chr1_27350000_27550000	chr1	27350000	27550000	3	1
chr1_28350000_28450000	chr1	28350000	28450000	3	1
chr1_31750000_31950000	chr1	31750000	31950000	3	1
chr1_32150000_32250000	chr1	32150000	32250000	3	1
chr1_32250000_32350000	chr1	32250000	32350000	3	1
chr1_32350000_32450000	chr1	32350000	32450000	3	1
chr1_32950000_33150000	chr1	32950000	33150000	3	1
chr1_34150000_35150000	chr1	34150000	35150000	2	0.5
chr1_35650000_35850000	chr1	35650000	35850000	3	1
chr1_35950000_36050000	chr1	35950000	36050000	3	1
chr1_36050000_36150000	chr1	36050000	36150000	3	1
chr1_38450000_39150000	chr1	38450000	39150000	3	1
chr1_39950000_40050000	chr1	39950000	40050000	2	0.5
chr1_41550000_41650000	chr1	41550000	41650000	3	1
chr1_42750000_42850000	chr1	42750000	42850000	3	1
chr1_45450000_45750000	chr1	45450000	45750000	3	1
chr1_45750000_45850000	chr1	45750000	45850000	3	1
chr1_46350000_46450000	chr1	46350000	46450000	3	1
chr1_48850000_48950000	chr1	48850000	48950000	3	1
chr1_49050000_49250000	chr1	49050000	49250000	3	1
chr1_51250000_51550000	chr1	51250000	51550000	3	1
chr1_51950000_52150000	chr1	51950000	52150000	3	1
chr1_53250000_53450000	chr1	53250000	53450000	1.66666666666667	0.333333333333333
chr1_53450000_53550000	chr1	53450000	53550000	3	1
chr1_53850000_53950000	chr1	53850000	53950000	3	1
chr1_54450000_54550000	chr1	54450000	54550000	3	1
chr1_55650000_55750000	chr1	55650000	55750000	3	1
chr1_57350000_58550000	chr1	57350000	58550000	3	1
chr1_61450000_62350000	chr1	61450000	62350000	3	1
chr1_65150000_65250000	chr1	65150000	65250000	3	1
chr1_65650000_66050000	chr1	65650000	66050000	3	1
chr1_66750000_66950000	chr1	66750000	66950000	3	1
chr1_66950000_67050000	chr1	66950000	67050000	3	1
chr1_67350000_67450000	chr1	67350000	67450000	3	1
chr1_70650000_70850000	chr1	70650000	70850000	2.5	0.75
chr1_75750000_76050000	chr1	75750000	76050000	3	1
chr1_76350000_76550000	chr1	76350000	76550000	3	1
chr1_77950000_78050000	chr1	77950000	78050000	3	1
chr1_78150000_78350000	chr1	78150000	78350000	3	1
chr1_84450000_84850000	chr1	84450000	84850000	3	1
chr1_84850000_84950000	chr1	84850000	84950000	3	1
chr1_84950000_85150000	chr1	84950000	85150000	3	1
chr1_85950000_86050000	chr1	85950000	86050000	3	1
chr1_86050000_86150000	chr1	86050000	86150000	3	1
chr1_86550000_86650000	chr1	86550000	86650000	3	1
chr1_93550000_93650000	chr1	93550000	93650000	3	1
chr1_97750000_98550000	chr1	97750000	98550000	3	1
chr1_99650000_100050000	chr1	99650000	100050000	3	1
chr1_100850000_100950000	chr1	100850000	100950000	3	1
chr1_102050000_102750000	chr1	102050000	102750000	3	1
chr1_107550000_107650000	chr1	107550000	107650000	3	1
chr1_108050000_108150000	chr1	108050000	108150000	3	1
