GeneID	Prot	FamilyAge	GeneAge	GeneType
ENSMUSG00000094277	ENSMUSP00000136397	FungiMetazoa	Theria	Duplicate
ENSMUSG00000063556	ENSMUSP00000097030	FungiMetazoa	Eutheria	Duplicate
ENSMUSG00000078380	ENSMUSP00000100805	FungiMetazoa	Theria	Duplicate
ENSMUSG00000058546	ENSMUSP00000099541	FungiMetazoa	Mus.musculus	Duplicate
ENSMUSG00000071532	ENSMUSP00000093719	FungiMetazoa	Mus.musculus	Duplicate
ENSMUSG00000078126	ENSMUSP00000100528	FungiMetazoa	Eutheria	Duplicate
ENSMUSG00000078289	ENSMUSP00000100709	FungiMetazoa	Eutheria	Duplicate
ENSMUSG00000031950	ENSMUSP00000034428	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000027602	ENSMUSP00000029128	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000074501	ENSMUSP00000136551	FungiMetazoa	Mus.musculus	Duplicate
ENSMUSG00000018567	ENSMUSP00000018711	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000030161	ENSMUSP00000032264	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000031812	ENSMUSP00000034270	FungiMetazoa	Mus.musculus	Duplicate
ENSMUSG00000015340	ENSMUSP00000015484	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000068452	ENSMUSP00000050314	Bilateria	Theria	Duplicate
ENSMUSG00000033268	ENSMUSP00000097060	Bilateria	Theria	Duplicate
ENSMUSG00000031257	ENSMUSP00000033610	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000023802	ENSMUSP00000024565	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000030562	ENSMUSP00000032781	Bilateria	Chordata	Duplicate
ENSMUSG00000039691	ENSMUSP00000041883	Bilateria	Bilateria	Duplicate
ENSMUSG00000037824	ENSMUSP00000035263	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000025875	ENSMUSP00000026993	Bilateria	Euteleostomi	Duplicate
