"chr"	"start"	"end"	"TAD"	"Length"
"1"	"chr10"	80000	920000	"TAD 1"	840000
"2"	"chr10"	1120000	3200000	"TAD 2"	2080000
"3"	"chr10"	3200000	4840000	"TAD 3"	1640000
"4"	"chr10"	4840000	5720000	"TAD 4"	880000
"5"	"chr10"	5960000	7480000	"TAD 5"	1520000
"6"	"chr10"	7560000	9360000	"TAD 6"	1800000
"7"	"chr10"	9360000	11840000	"TAD 7"	2480000
"8"	"chr10"	12240000	13600000	"TAD 8"	1360000
"9"	"chr10"	13600000	14560000	"TAD 9"	960000
"10"	"chr10"	14560000	15160000	"TAD 10"	600000
"11"	"chr10"	15440000	16840000	"TAD 11"	1400000
"12"	"chr10"	16840000	17800000	"TAD 12"	960000
"13"	"chr10"	18200000	18560000	"TAD 13"	360000
"14"	"chr10"	18760000	19560000	"TAD 14"	800000
"15"	"chr10"	19640000	21120000	"TAD 15"	1480000
"16"	"chr10"	21360000	22240000	"TAD 16"	880000
"17"	"chr10"	22280000	23400000	"TAD 17"	1120000
"18"	"chr10"	23400000	24880000	"TAD 18"	1480000
"19"	"chr10"	24880000	25400000	"TAD 19"	520000
"20"	"chr10"	25560000	25960000	"TAD 20"	400000
"21"	"chr10"	26000000	27600000	"TAD 21"	1600000
"22"	"chr10"	27680000	28720000	"TAD 22"	1040000
"23"	"chr10"	28880000	29640000	"TAD 23"	760000
"24"	"chr10"	29760000	30600000	"TAD 24"	840000
"25"	"chr10"	30640000	30920000	"TAD 25"	280000
"26"	"chr10"	30920000	32680000	"TAD 26"	1760000
"27"	"chr10"	32680000	35280000	"TAD 27"	2600000
"28"	"chr10"	35400000	37080000	"TAD 28"	1680000
"29"	"chr10"	37080000	38960000	"TAD 29"	1880000
"30"	"chr10"	38960000	43240000	"TAD 30"	4280000
"31"	"chr10"	43320000	43920000	"TAD 31"	600000
"32"	"chr10"	44120000	46240000	"TAD 32"	2120000
"33"	"chr10"	46920000	47720000	"TAD 33"	800000
"34"	"chr10"	48280000	48680000	"TAD 34"	400000
"35"	"chr10"	49360000	51120000	"TAD 35"	1760000
"36"	"chr10"	52040000	52480000	"TAD 36"	440000
"37"	"chr10"	52520000	54480000	"TAD 37"	1960000
"38"	"chr10"	54560000	55360000	"TAD 38"	800000
"39"	"chr10"	55360000	57360000	"TAD 39"	2000000
"40"	"chr10"	57400000	59920000	"TAD 40"	2520000
"41"	"chr10"	60480000	60960000	"TAD 41"	480000
"42"	"chr10"	61000000	62560000	"TAD 42"	1560000
"43"	"chr10"	62560000	64000000	"TAD 43"	1440000
"44"	"chr10"	64160000	64920000	"TAD 44"	760000
"45"	"chr10"	64920000	65600000	"TAD 45"	680000
"46"	"chr10"	65600000	69520000	"TAD 46"	3920000
"47"	"chr10"	69560000	70080000	"TAD 47"	520000
"48"	"chr10"	70120000	70720000	"TAD 48"	600000
"49"	"chr10"	70960000	72640000	"TAD 49"	1680000
"50"	"chr10"	72640000	73040000	"TAD 50"	400000
"51"	"chr10"	73080000	74120000	"TAD 51"	1040000
"52"	"chr10"	74120000	74960000	"TAD 52"	840000
"53"	"chr10"	75000000	75560000	"TAD 53"	560000
"54"	"chr10"	75960000	76880000	"TAD 54"	920000
"55"	"chr10"	77040000	78880000	"TAD 55"	1840000
"56"	"chr10"	78920000	79800000	"TAD 56"	880000
"57"	"chr10"	79800000	81280000	"TAD 57"	1480000
"58"	"chr10"	81280000	82000000	"TAD 58"	720000
"59"	"chr10"	82040000	83600000	"TAD 59"	1560000
"60"	"chr10"	83880000	86000000	"TAD 60"	2120000
"61"	"chr10"	86000000	88400000	"TAD 61"	2400000
"62"	"chr10"	88440000	89000000	"TAD 62"	560000
"63"	"chr10"	89240000	91000000	"TAD 63"	1760000
"64"	"chr10"	91000000	92640000	"TAD 64"	1640000
"65"	"chr10"	92640000	93520000	"TAD 65"	880000
"66"	"chr10"	93800000	94240000	"TAD 66"	440000
"67"	"chr10"	94640000	95280000	"TAD 67"	640000
"68"	"chr10"	95280000	96360000	"TAD 68"	1080000
"69"	"chr10"	96360000	97400000	"TAD 69"	1040000
"70"	"chr10"	97440000	98120000	"TAD 70"	680000
"71"	"chr10"	98120000	99400000	"TAD 71"	1280000
"72"	"chr10"	99440000	101400000	"TAD 72"	1960000
"73"	"chr10"	101520000	102280000	"TAD 73"	760000
"74"	"chr10"	102280000	103560000	"TAD 74"	1280000
"75"	"chr10"	103600000	103880000	"TAD 75"	280000
"76"	"chr10"	103920000	104440000	"TAD 76"	520000
"77"	"chr10"	104480000	105120000	"TAD 77"	640000
"78"	"chr10"	105680000	106040000	"TAD 78"	360000
"79"	"chr10"	106040000	108360000	"TAD 79"	2320000
"80"	"chr10"	108400000	110360000	"TAD 80"	1960000
"81"	"chr10"	110600000	111640000	"TAD 81"	1040000
"82"	"chr10"	112040000	114120000	"TAD 82"	2080000
"83"	"chr10"	114240000	115400000	"TAD 83"	1160000
"84"	"chr10"	115440000	115880000	"TAD 84"	440000
"85"	"chr10"	116040000	118200000	"TAD 85"	2160000
"86"	"chr10"	118560000	118920000	"TAD 86"	360000
"87"	"chr10"	118960000	120760000	"TAD 87"	1800000
"88"	"chr10"	120880000	121320000	"TAD 88"	440000
"89"	"chr10"	121360000	122600000	"TAD 89"	1240000
"90"	"chr10"	122680000	123680000	"TAD 90"	1000000
"91"	"chr10"	123800000	124720000	"TAD 91"	920000
"92"	"chr10"	124760000	125320000	"TAD 92"	560000
"93"	"chr10"	125360000	126440000	"TAD 93"	1080000
"94"	"chr10"	126680000	127480000	"TAD 94"	800000
"95"	"chr10"	127520000	129920000	"TAD 95"	2400000
"96"	"chr10"	129960000	131960000	"TAD 96"	2000000
"97"	"chr10"	132000000	133680000	"TAD 97"	1680000
"98"	"chr10"	133920000	135360000	"TAD 98"	1440000
"99"	"chr11"	160000	1560000	"TAD 99"	1400000
"100"	"chr11"	1560000	2200000	"TAD 100"	640000
"101"	"chr11"	2200000	3280000	"TAD 101"	1080000
"102"	"chr11"	3400000	3720000	"TAD 102"	320000
"103"	"chr11"	3840000	4120000	"TAD 103"	280000
"104"	"chr11"	4120000	6400000	"TAD 104"	2280000
"105"	"chr11"	6720000	7880000	"TAD 105"	1160000
"106"	"chr11"	8160000	9520000	"TAD 106"	1360000
"107"	"chr11"	9760000	10800000	"TAD 107"	1040000
