,GeneID,Chromosome,Start,End,Strand,RT_ESC_RANK_median,probe_dist,FamilyAge,GeneAge,BirthType,GeneAge_GROUPED
ENSG00000000003,ENSG00000000003,X,99883667,99894988,-1,0.375098707995036,73.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000000005,ENSG00000000005,X,99839799,99854882,1,0.395862313507232,663.5,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000000419,ENSG00000000419,20,49551404,49575092,-1,0.170517916859997,438,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000000457,ENSG00000000457,1,169818772,169863408,-1,0.650214717356277,916,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000000460,ENSG00000000460,1,169631245,169823221,1,0.616598949242695,1090,Euteleostomi,Euteleostomi,Singleton,Old
ENSG00000000938,ENSG00000000938,1,27938575,27961788,-1,0.0399675437472446,412.5,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000000971,ENSG00000000971,1,196621008,196716634,1,0.417729690671002,147,Bilateria,Hominoidea,Duplicate,Recent
ENSG00000001036,ENSG00000001036,6,143815948,143832827,-1,0.132399051848124,759.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000001084,ENSG00000001084,6,53362139,53481768,-1,0.484303983153835,607.5,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000001167,ENSG00000001167,6,41040684,41067715,1,0.255295189526289,406.5,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000001460,ENSG00000001460,1,24683489,24743424,-1,0.0736034351076177,96.5,Chordata,Chordata,Singleton,Old
ENSG00000001461,ENSG00000001461,1,24742284,24799466,1,0.0508232258351032,210,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000001497,ENSG00000001497,X,64732462,64754655,-1,0.43156222547381,618.5,Bilateria,Bilateria,Singleton,Old
ENSG00000001561,ENSG00000001561,6,46097730,46114436,1,0.788274762349081,285,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000001617,ENSG00000001617,3,50192478,50226508,1,0.165568292054463,242,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000001626,ENSG00000001626,7,117105838,117356025,1,0.68718077475888,616.5,Bilateria,Bilateria,Duplicate,Old
ENSG00000001629,ENSG00000001629,7,91875548,92030698,1,0.177038311423666,783,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000001630,ENSG00000001630,7,91741465,91772266,-1,0.304983996236259,375.5,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000001631,ENSG00000001631,7,91828283,91875480,-1,0.244533994177674,281.5,Bilateria,Bilateria,Duplicate,Old
ENSG00000002016,ENSG00000002016,12,1021243,1099219,-1,0.220275882774455,271,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000002330,ENSG00000002330,11,64037302,64052176,-1,0.184090699868019,159,Euteleostomi,Euteleostomi,Singleton,Old
ENSG00000002549,ENSG00000002549,4,17578815,17609595,1,0.429002987955196,295,Bilateria,Bilateria,Duplicate,Old
ENSG00000002586,ENSG00000002586,X,2609220,2659350,1,0.0620038867935526,425,Sarcopterygii,Sarcopterygii,Singleton,Old
ENSG00000002587,ENSG00000002587,4,11394774,11431389,-1,0.800213630238347,154.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000002726,ENSG00000002726,7,150521715,150558592,1,0.392311254353676,1934.5,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000002745,ENSG00000002745,7,120965421,120981158,1,0.568651497285212,811.5,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000002746,ENSG00000002746,7,43152198,43605600,1,0.248660416278272,174,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000002822,ENSG00000002822,7,1855429,2272878,-1,0.430538946809402,3.5,Bilateria,Bilateria,Singleton,Old
