tad_id	tad_chr	tad_start	tad_end	meanAge	percentOld
chr1_0_650000	chr1	0	650000	1	0
chr1_1750000_1850000	chr1	1750000	1850000	3	1
chr1_2350000_2550000	chr1	2350000	2550000	3	1
chr1_3550000_3650000	chr1	3550000	3650000	3	1
chr1_3650000_3750000	chr1	3650000	3750000	3	1
chr1_6150000_6250000	chr1	6150000	6250000	3	1
chr1_6450000_6550000	chr1	6450000	6550000	3	1
chr1_6550000_6650000	chr1	6550000	6650000	3	1
chr1_7750000_7850000	chr1	7750000	7850000	3	1
chr1_7850000_7950000	chr1	7850000	7950000	1	0
chr1_7950000_8050000	chr1	7950000	8050000	3	1
chr1_8050000_8350000	chr1	8050000	8350000	3	1
chr1_8350000_8450000	chr1	8350000	8450000	3	1
chr1_8850000_8950000	chr1	8850000	8950000	3	1
chr1_9150000_9250000	chr1	9150000	9250000	3	1
chr1_9550000_9650000	chr1	9550000	9650000	3	1
chr1_9650000_9750000	chr1	9650000	9750000	3	1
chr1_10450000_10550000	chr1	10450000	10550000	2	0.5
chr1_10550000_10950000	chr1	10550000	10950000	3	1
chr1_10950000_11050000	chr1	10950000	11050000	3	1
chr1_11850000_11950000	chr1	11850000	11950000	2	0.5
chr1_11950000_12050000	chr1	11950000	12050000	3	1
chr1_12050000_12150000	chr1	12050000	12150000	3	1
chr1_12250000_12350000	chr1	12250000	12350000	3	1
chr1_12750000_12850000	chr1	12750000	12850000	1.66666666666667	0.333333333333333
chr1_12850000_12950000	chr1	12850000	12950000	1	0
chr1_15350000_15450000	chr1	15350000	15450000	3	1
chr1_15750000_15850000	chr1	15750000	15850000	2.2	0.6
chr1_16350000_16450000	chr1	16350000	16450000	1.66666666666667	0.333333333333333
chr1_16450000_16750000	chr1	16450000	16750000	3	1
chr1_16750000_16850000	chr1	16750000	16850000	3	1
chr1_17250000_17350000	chr1	17250000	17350000	3	1
chr1_18950000_19150000	chr1	18950000	19150000	3	1
chr1_19150000_19250000	chr1	19150000	19250000	3	1
chr1_19450000_19550000	chr1	19450000	19550000	3	1
chr1_19550000_19650000	chr1	19550000	19650000	3	1
chr1_19650000_19950000	chr1	19650000	19950000	3	1
chr1_19950000_20050000	chr1	19950000	20050000	2	0.5
chr1_20050000_20150000	chr1	20050000	20150000	1	0
chr1_20850000_20950000	chr1	20850000	20950000	3	1
chr1_21450000_21550000	chr1	21450000	21550000	3	1
chr1_21850000_21950000	chr1	21850000	21950000	3	1
chr1_22250000_22350000	chr1	22250000	22350000	3	1
chr1_23150000_23250000	chr1	23150000	23250000	3	1
chr1_23250000_23350000	chr1	23250000	23350000	3	1
chr1_23950000_24050000	chr1	23950000	24050000	2	0.5
chr1_24050000_24150000	chr1	24050000	24150000	2.5	0.75
chr1_24150000_24250000	chr1	24150000	24250000	3	1
chr1_24250000_24350000	chr1	24250000	24350000	1	0
chr1_24850000_24950000	chr1	24850000	24950000	2	0.5
chr1_24950000_25050000	chr1	24950000	25050000	3	1
chr1_25150000_25450000	chr1	25150000	25450000	3	1
chr1_25650000_26050000	chr1	25650000	26050000	2.5	0.75
chr1_26050000_26150000	chr1	26050000	26150000	3	1
chr1_26750000_26850000	chr1	26750000	26850000	3	1
chr1_26850000_27150000	chr1	26850000	27150000	3	1
chr1_27150000_27250000	chr1	27150000	27250000	2.66666666666667	0.833333333333333
chr1_27950000_28050000	chr1	27950000	28050000	3	1
chr1_28050000_28150000	chr1	28050000	28150000	3	1
chr1_28550000_28650000	chr1	28550000	28650000	3	1
chr1_28650000_28850000	chr1	28650000	28850000	3	1
chr1_28850000_28950000	chr1	28850000	28950000	3	1
