"chr"	"start"	"end"	"TAD"	"Length"
"1"	"chr1"	0	4328000	"TAD 1"	4328000
"2"	"chr1"	4461000	4761000	"TAD 2"	3e+05
"3"	"chr1"	4782000	5072000	"TAD 3"	290000
"4"	"chr1"	5089000	6980000	"TAD 4"	1891000
"5"	"chr1"	7003000	9437000	"TAD 5"	2434000
"6"	"chr1"	9559000	10112000	"TAD 6"	553000
"7"	"chr1"	10281000	11587000	"TAD 7"	1306000
"8"	"chr1"	11691000	12844000	"TAD 8"	1153000
"9"	"chr1"	12862000	13656000	"TAD 9"	794000
"10"	"chr1"	13827000	14962000	"TAD 10"	1135000
"11"	"chr1"	15026000	17097000	"TAD 11"	2071000
"12"	"chr1"	17179000	18336000	"TAD 12"	1157000
"13"	"chr1"	18352000	19029000	"TAD 13"	677000
"14"	"chr1"	19096000	20525000	"TAD 14"	1429000
"15"	"chr1"	20654000	21332000	"TAD 15"	678000
"16"	"chr1"	21447000	22495000	"TAD 16"	1048000
"17"	"chr1"	22605000	24231000	"TAD 17"	1626000
"18"	"chr1"	24312000	25881000	"TAD 18"	1569000
"19"	"chr1"	25954000	30597000	"TAD 19"	4643000
"20"	"chr1"	30781000	31178000	"TAD 20"	397000
"21"	"chr1"	31189000	33522000	"TAD 21"	2333000
"22"	"chr1"	33665000	34415000	"TAD 22"	750000
"23"	"chr1"	34510000	34853000	"TAD 23"	343000
"24"	"chr1"	34965000	36730000	"TAD 24"	1765000
"25"	"chr1"	36816000	37248000	"TAD 25"	432000
"26"	"chr1"	37265000	37861000	"TAD 26"	596000
"27"	"chr1"	37917000	38087000	"TAD 27"	170000
"28"	"chr1"	38212000	38784000	"TAD 28"	572000
"29"	"chr1"	38798000	38980000	"TAD 29"	182000
"30"	"chr1"	38998000	39531000	"TAD 30"	533000
"31"	"chr1"	39617000	43100000	"TAD 31"	3483000
"32"	"chr1"	43101000	43719000	"TAD 32"	618000
"33"	"chr1"	43764000	44099000	"TAD 33"	335000
"34"	"chr1"	44291000	44742000	"TAD 34"	451000
"35"	"chr1"	44755000	45706000	"TAD 35"	951000
"36"	"chr1"	45820000	46026000	"TAD 36"	206000
"37"	"chr1"	46183000	46660000	"TAD 37"	477000
"38"	"chr1"	46823000	51603000	"TAD 38"	4780000
"39"	"chr1"	51690000	53304000	"TAD 39"	1614000
"40"	"chr1"	53435000	53570000	"TAD 40"	135000
"41"	"chr1"	53751000	54373000	"TAD 41"	622000
"42"	"chr1"	54395000	54980000	"TAD 42"	585000
"43"	"chr1"	54986000	55384000	"TAD 43"	398000
"44"	"chr1"	55407000	55836000	"TAD 44"	429000
"45"	"chr1"	55904000	57326000	"TAD 45"	1422000
"46"	"chr1"	57445000	58293000	"TAD 46"	848000
"47"	"chr1"	58429000	59210000	"TAD 47"	781000
"48"	"chr1"	59268000	59605000	"TAD 48"	337000
"49"	"chr1"	59788000	60915000	"TAD 49"	1127000
"50"	"chr1"	61021000	62961000	"TAD 50"	1940000
"51"	"chr1"	63183000	63584000	"TAD 51"	401000
"52"	"chr1"	63675000	64434000	"TAD 52"	759000
"53"	"chr1"	64579000	65174000	"TAD 53"	595000
"54"	"chr1"	65324000	65992000	"TAD 54"	668000
"55"	"chr1"	66121000	69111000	"TAD 55"	2990000
"56"	"chr1"	69252000	69766000	"TAD 56"	514000
"57"	"chr1"	69787000	71490000	"TAD 57"	1703000
"58"	"chr1"	71583000	72089000	"TAD 58"	506000
"59"	"chr1"	72324000	72850000	"TAD 59"	526000
"60"	"chr1"	72914000	73800000	"TAD 60"	886000
"61"	"chr1"	73918000	74182000	"TAD 61"	264000
"62"	"chr1"	74201000	74438000	"TAD 62"	237000
"63"	"chr1"	74511000	75576000	"TAD 63"	1065000
"64"	"chr1"	75697000	77515000	"TAD 64"	1818000
"65"	"chr1"	77597000	77924000	"TAD 65"	327000
"66"	"chr1"	77944000	78433000	"TAD 66"	489000
