"X"	"HUGO_symbol"	"seqnames"	"start"	"end"	"GeneAge"	"BirthType"
"ENSG00000000003"	"-"	"X"	"99883667"	"99894988"	"Euteleostomi"	"Duplicate"
"ENSG00000000005"	"-"	"X"	"99839799"	"99854882"	"Euteleostomi"	"Duplicate"
"ENSG00000000419"	"-"	"20"	"49551404"	"49575092"	"FungiMetazoa"	"Singleton"
"ENSG00000000457"	"-"	"1"	"169818772"	"169863408"	"Bilateria"	"Duplicate"
"ENSG00000000460"	"-"	"1"	"169631245"	"169823221"	"Euteleostomi"	"Singleton"
"ENSG00000000938"	"-"	"1"	"27938575"	"27961788"	"Euteleostomi"	"Duplicate"
"ENSG00000000971"	"-"	"1"	"196621008"	"196716634"	"Hominoidea"	"Duplicate"
"ENSG00000001036"	"-"	"6"	"143815948"	"143832827"	"Euteleostomi"	"Duplicate"
"ENSG00000001084"	"-"	"6"	"53362139"	"53481768"	"FungiMetazoa"	"Singleton"
"ENSG00000001167"	"-"	"6"	"41040684"	"41067715"	"FungiMetazoa"	"Singleton"
"ENSG00000001460"	"-"	"1"	"24683489"	"24743424"	"Chordata"	"Singleton"
"ENSG00000001461"	"-"	"1"	"24742284"	"24799466"	"Euteleostomi"	"Duplicate"
"ENSG00000001497"	"-"	"X"	"64732462"	"64754655"	"Bilateria"	"Singleton"
"ENSG00000001561"	"-"	"6"	"46097730"	"46114436"	"Euteleostomi"	"Duplicate"
"ENSG00000001617"	"-"	"3"	"50192478"	"50226508"	"Euteleostomi"	"Duplicate"
"ENSG00000001626"	"-"	"7"	"117105838"	"117356025"	"Bilateria"	"Duplicate"
"ENSG00000001629"	"-"	"7"	"91875548"	"92030698"	"Bilateria"	"Duplicate"
"ENSG00000001630"	"-"	"7"	"91741465"	"91772266"	"Bilateria"	"Duplicate"
"ENSG00000001631"	"-"	"7"	"91828283"	"91875480"	"Bilateria"	"Duplicate"
"ENSG00000002016"	"-"	"12"	"1021243"	"1099219"	"FungiMetazoa"	"Singleton"
"ENSG00000002330"	"-"	"11"	"64037302"	"64052176"	"Euteleostomi"	"Singleton"
"ENSG00000002549"	"-"	"4"	"17578815"	"17609595"	"Bilateria"	"Duplicate"
"ENSG00000002586"	"-"	"X"	"2609220"	"2659350"	"Sarcopterygii"	"Singleton"
"ENSG00000002587"	"-"	"4"	"11394774"	"11431389"	"Euteleostomi"	"Duplicate"
"ENSG00000002726"	"-"	"7"	"150521715"	"150558592"	"Euteleostomi"	"Duplicate"
"ENSG00000002745"	"-"	"7"	"120965421"	"120981158"	"Euteleostomi"	"Duplicate"
"ENSG00000002746"	"-"	"7"	"43152198"	"43605600"	"Euteleostomi"	"Duplicate"
"ENSG00000002822"	"-"	"7"	"1855429"	"2272878"	"Bilateria"	"Singleton"
"ENSG00000002834"	"-"	"17"	"37026112"	"37078023"	"Euteleostomi"	"Duplicate"
"ENSG00000002919"	"-"	"17"	"46180719"	"46200436"	"Euteleostomi"	"Duplicate"
"ENSG00000002933"	"-"	"7"	"150497491"	"150502208"	"Theria"	"Duplicate"
"ENSG00000003056"	"-"	"12"	"9092959"	"9102551"	"Chordata"	"Singleton"
"ENSG00000003096"	"-"	"X"	"117031776"	"117251303"	"Eutheria"	"Duplicate"
"ENSG00000003137"	"-"	"2"	"72356367"	"72375167"	"Euteleostomi"	"Duplicate"
"ENSG00000003147"	"-"	"7"	"8152814"	"8302317"	"Euteleostomi"	"Duplicate"
"ENSG00000003249"	"-"	"16"	"90071273"	"90086536"	"Euteleostomi"	"Singleton"
"ENSG00000003393"	"-"	"2"	"202565277"	"202645912"	"Euteleostomi"	"Duplicate"
"ENSG00000003400"	"-"	"2"	"202047604"	"202094129"	"Euteleostomi"	"Duplicate"
"ENSG00000003402"	"-"	"2"	"201980827"	"202041410"	"Euteleostomi"	"Singleton"
"ENSG00000003436"	"-"	"2"	"188328957"	"188430487"	"Euteleostomi"	"Duplicate"
"ENSG00000003509"	"-"	"2"	"37458774"	"37480546"	"Bilateria"	"Singleton"
"ENSG00000003756"	"-"	"3"	"50126341"	"50156454"	"Euteleostomi"	"Duplicate"
"ENSG00000003987"	"-"	"8"	"17155539"	"17271037"	"Euteleostomi"	"Duplicate"
"ENSG00000003989"	"-"	"8"	"17354597"	"17428082"	"Euteleostomi"	"Duplicate"
"ENSG00000004059"	"-"	"7"	"127228399"	"127231759"	"Euteleostomi"	"Duplicate"
"ENSG00000004139"	"-"	"17"	"26691378"	"26728065"	"Bilateria"	"Singleton"
"ENSG00000004399"	"-"	"3"	"129274018"	"129325661"	"Euteleostomi"	"Duplicate"
"ENSG00000004455"	"-"	"1"	"33473585"	"33546597"	"Bilateria"	"Duplicate"
"ENSG00000004468"	"-"	"4"	"15779898"	"15854853"	"Tetrapoda"	"Duplicate"
"ENSG00000004478"	"-"	"12"	"2904119"	"2914576"	"Euteleostomi"	"Duplicate"
"ENSG00000004487"	"-"	"1"	"23345941"	"23410182"	"Bilateria"	"Duplicate"
"ENSG00000004534"	"-"	"3"	"49977440"	"50137478"	"Euteleostomi"	"Duplicate"
"ENSG00000004660"	"-"	"17"	"3763609"	"3798185"	"Euteleostomi"	"Duplicate"
"ENSG00000004700"	"-"	"12"	"21621845"	"21654603"	"Bilateria"	"Duplicate"
"ENSG00000004766"	"-"	"7"	"92861653"	"92988338"	"Bilateria"	"Singleton"
"ENSG00000004776"	"-"	"19"	"36245469"	"36248980"	"Euteleostomi"	"Duplicate"
"ENSG00000004777"	"-"	"19"	"36265434"	"36279724"	"Euteleostomi"	"Duplicate"
"ENSG00000004779"	"-"	"16"	"23592323"	"23607677"	"FungiMetazoa"	"Singleton"
"ENSG00000004799"	"-"	"7"	"95212811"	"95225803"	"Euteleostomi"	"Duplicate"
"ENSG00000004809"	"-"	"6"	"110745890"	"110797844"	"Bilateria"	"Duplicate"
"ENSG00000004838"	"-"	"3"	"50378541"	"50384283"	"Bilateria"	"Singleton"
"ENSG00000004846"	"-"	"7"	"20654830"	"20816658"	"Euteleostomi"	"Duplicate"
"ENSG00000004848"	"-"	"X"	"25021811"	"25034065"	"Bilateria"	"Duplicate"
"ENSG00000004864"	"-"	"7"	"95749532"	"95951459"	"Euteleostomi"	"Duplicate"
